transcript_id,ERR5060645,ERR5060646
transcript:Os08t0487000-02,32,48
transcript:Os05t0221900-00,0,0
transcript:Os06t0208200-01,42,96
transcript:Os05t0572000-01,103,602
transcript:Os07t0201100-01,5908,7681
transcript:Os11t0127900-01,3798,5146
transcript:Os07t0485000-01,103,42
transcript:Os05t0229000-00,746,887
transcript:Os01t0281000-01,868,2144
transcript:Os12t0556900-00,38,33
transcript:Os06t0662100-01,20,53
transcript:Os07t0249600-01,137,335
transcript:Os11t0231800-00,0,0
transcript:Os05t0521500-01,887,1567
transcript:Os07t0249600-02,1324,1775
transcript:Os04t0658400-00,0,1
transcript:Os03t0841700-02,945,1003
transcript:Os12t0273300-01,108,145
transcript:Os02t0595700-01,1486,1891
transcript:Os02t0595700-02,0,0
transcript:Os02t0595700-04,1998,3110
transcript:Os09t0467300-02,26,40
transcript:Os01t0922100-01,5,76
transcript:Os09t0467300-01,1,19
transcript:Os02t0759500-01,64,148
transcript:Os02t0759500-03,48,27
transcript:Os02t0759500-02,42,18
transcript:Os01t0854800-01,10,5
transcript:Os08t0320051-00,18,0
transcript:Os01t0747800-01,287,628
transcript:Os03t0237401-00,0,0
transcript:Os07t0223001-01,76,62
transcript:Os08t0238600-01,15,42
transcript:Os02t0595500-01,713,970
transcript:Os02t0714600-01,458,479
transcript:Os09t0120033-01,70,54
transcript:Os01t0922700-01,26,32
